index,text,label
97,I am feeling extremely fatigued and unwell.,1
98,I need to recover from a surgery.,1
99,I am suffering from body aches and fatigue.,1
100,I am taking leave to prepare for an exam.,0
101,I need to oversee repairs in my house.,0
102,I am accompanying my parents to a family gathering.,0
103,I am going out of town for personal work.,0
104,I have a sports event to attend.,0
105,I am planning a family outing.,0
106,I need a day off for a family function.,0
107,I am spending time outdoors for recreational activities.,0
108,I am taking a break for leisure travel.,0
109,I am attending a cultural festival.,0
110,I need a day off to move to a new apartment.,0
111,I need time to attend a friend's farewell party.,0
112,I need to be at a community event.,0
113,I need to visit relatives in another city.,0
114,I need to attend a graduation ceremony.,0
115,I am spending the day with a close relative who is visiting.,0
116,I am attending a cultural festival.,0
117,I am planning a family outing.,0
118,I am helping a friend move houses.,0
119,I am taking leave to celebrate a festival with my family.,0
120,I am going out of town for personal work.,0
121,I am attending a family reunion.,0
122,I need to prepare for a family celebration.,0
123,I need to finalize a business proposal.,0
124,I have a meeting with a financial advisor.,0
125,I need to take care of some errands.,0
126,I am on leave for religious ceremonies.,0
127,I need to attend a training session.,0
128,I am taking time off for a photography trip.,0
129,I have to take my kids to school.,0
130,I need to sort personal financial matters.,0
131,I need to take my car for servicing.,0
132,I am accompanying a friend to an important event.,0
133,I have a sports event to attend.,0
134,I need to attend a friend's wedding.,0
135,I have a personal commitment.,0
136,I need to prepare for a family religious ceremony.,0
137,I am helping my sibling plan their engagement.,0
138,I am assisting my parents with travel arrangements.,0
139,I am assisting my parents with travel arrangements.,0
140,I am accompanying my spouse for an important event.,0
141,I have to take my kids to school.,0
142,I need to attend a friend's wedding.,0
143,I need leave for an adventure trip.,0
144,I need to attend a reunion with old classmates.,0
145,I need time off to renovate my house.,0
146,I am attending an art and crafts fair.,0
147,I need to participate in a charity event.,0
148,I need to stay home for repairs.,0
149,I need to take my pet to the vet.,0
150,I need to handle some paperwork at the bank.,0
151,I am participating in a cooking competition.,0
152,I need to be present for a property deal.,0
153,I am taking leave for leisure activities.,0
154,I need to help a friend organize a party.,0
155,I am attending a career counseling session.,0
156,I need to take my pet to the vet.,0
157,I need to oversee renovations at home.,0
158,I am traveling for an educational workshop.,0
159,I am taking leave for a friend's engagement party.,0
160,I have a personal commitment.,0
161,I am taking leave to go on vacation.,0
162,I am attending an out-of-town wedding.,0
163,I am taking leave to recharge and relax.,0
164,I am volunteering at a local charity event.,0
165,I need to manage legal paperwork for my property.,0
166,I am traveling for personal reasons.,0
167,I need to prepare for a small family gathering.,0
168,I need to spend time with my children during their school holidays.,0
169,I need to oversee renovations at home.,0
170,I am attending a music workshop.,0
171,I need to volunteer for a community project.,0
172,I need to stay home for repairs.,0
173,I need to participate in a creative writing workshop.,0
174,I am going to spend quality time with family.,0
175,I am attending a concert with friends.,0
176,I need a day off for a family function.,0
177,I am attending a gala event in the city.,0
178,I am attending a special dinner event.,0
179,I need to finalize plans for an upcoming holiday.,0
180,I am helping a friend move houses.,0
181,I need to organize a cultural event in my locality.,0
182,I am attending a book club meeting.,0
183,I need to prepare for a family celebration.,0
184,I am attending a local sports tournament.,0
185,I need to be present for an art exhibition.,0
186,I am taking leave to go on vacation.,0
187,I have a meeting with a financial advisor.,0
188,I am organizing a get-together for friends.,0
189,I am accompanying a friend to an important event.,0
190,I need to handle some paperwork at the bank.,0
191,I am on leave for religious ceremonies.,0
192,I am traveling for personal reasons.,0
193,I need to be present for a book signing event.,0
194,I need to be at a community event.,0
195,I am volunteering at a local charity event.,0
196,I need to take care of some errands.,0
197,I need to be present for a property deal.,0
198,I am taking leave for leisure activities.,0
199,I have a headache and fever.,1
200,I am not feeling well and need rest.,1
201,I need leave for a doctor's appointment.,1
202,I have flu and can't come to work.,1
203,I am feeling unwell due to cold.,1
204,I have been diagnosed with a stomach infection.,1
205,I need to recover from a surgery.,1
206,I have a medical emergency and need leave.,1
207,I have a sore throat and high fever.,1
208,I am suffering from a severe migraine.,1
209,I have been prescribed rest by my doctor.,1
210,I caught a cold and need to rest.,1
211,I am experiencing body pain and weakness.,1
212,I have an eye infection and cannot come to work.,1
213,I need to stay home due to a viral infection.,1
214,I have a stomach ache and nausea.,1
215,I am feeling dizzy and weak.,1
216,I have been advised to rest due to low blood pressure.,1
217,I have a respiratory infection and need to recover.,1
218,I am recovering from food poisoning.,1
219,I need to visit the hospital for a check-up.,1
220,I am unwell due to an allergic reaction.,1
221,I have a severe cough and cold.,1
222,I am feeling lethargic and unwell.,1
223,I need time off for medical reasons.,1
224,I have a headache and fever.,1
225,I am not feeling well and need rest.,1
226,I need leave for a doctor's appointment.,1
227,I have flu and can't come to work.,1
228,I am feeling unwell due to cold.,1
229,I have been diagnosed with a stomach infection.,1
230,I need to recover from a surgery.,1
231,I have a medical emergency and need leave.,1
232,I have a sore throat and high fever.,1
233,I am suffering from a severe migraine.,1
234,I have been prescribed rest by my doctor.,1
235,I caught a cold and need to rest.,1
236,I am experiencing body pain and weakness.,1
237,I have an eye infection and cannot come to work.,1
238,I need to stay home due to a viral infection.,1
239,I have a stomach ache and nausea.,1
240,I am feeling dizzy and weak.,1
241,I have been advised to rest due to low blood pressure.,1
242,I have a respiratory infection and need to recover.,1
243,I am recovering from food poisoning.,1
244,I need to visit the hospital for a check-up.,1
245,I am unwell due to an allergic reaction.,1
246,I have a severe cough and cold.,1
247,I am feeling lethargic and unwell.,1
248,I need time off for medical reasons.,1
249,I need to attend a friend's wedding.,0
250,I am taking leave to go on vacation.,0
251,I need a day off for a family function.,0
252,I have a personal commitment.,0
253,I am traveling for personal reasons.,0
254,I need to stay home for repairs.,0
255,I have to take my kids to school.,0
256,I am on leave for religious ceremonies.,0
257,I need to be present for a property deal.,0
258,I have a meeting with a financial advisor.,0
259,I am helping a friend move houses.,0
260,I need to be at a community event.,0
261,I am attending a cultural festival.,0
262,I need to take care of some errands.,0
263,I am planning a family outing.,0
264,I need to handle some paperwork at the bank.,0
265,I am assisting my parents with travel arrangements.,0
266,I am going out of town for personal work.,0
267,I need to take my pet to the vet.,0
268,I am volunteering at a local charity event.,0
269,I need to prepare for a family celebration.,0
270,I have a sports event to attend.,0
271,I am accompanying a friend to an important event.,0
272,I need to oversee renovations at home.,0
273,I am taking leave for leisure activities.,0
274,I need to attend a friend's wedding.,0
275,I am taking leave to go on vacation.,0
276,I need a day off for a family function.,0
277,I have a personal commitment.,0
278,I am traveling for personal reasons.,0
279,I need to stay home for repairs.,0
280,I have to take my kids to school.,0
281,I am on leave for religious ceremonies.,0
282,I need to be present for a property deal.,0
283,I have a meeting with a financial advisor.,0
284,I am helping a friend move houses.,0
285,I need to be at a community event.,0
286,I am attending a cultural festival.,0
287,I need to take care of some errands.,0
288,I am planning a family outing.,0
289,I need to handle some paperwork at the bank.,0
290,I am assisting my parents with travel arrangements.,0
291,I am going out of town for personal work.,0
292,I need to take my pet to the vet.,0
293,I am volunteering at a local charity event.,0
294,I need to prepare for a family celebration.,0
295,I have a sports event to attend.,0
296,I am accompanying a friend to an important event.,0
297,I need to oversee renovations at home.,0
298,I am taking leave for leisure activities.,0
299,I am feeling unwell due to dehydration.,1
300,I need to undergo therapy sessions for recovery.,1
301,I need leave for a doctor's appointment.,1
302,I need leave to manage my diabetes treatment.,1
303,I need to visit the hospital for a check-up.,1
304,I am unwell due to an allergic reaction to medication.,1
305,I need to recover from a viral fever.,1
306,I have a stomach ache and nausea.,1
307,I have a severe cough and cold.,1
308,I have been diagnosed with appendicitis.,1
309,I have flu and can't come to work.,1
310,I have a sore throat and high fever.,1
311,I have a medical emergency and need leave.,1
312,I need time off for medical reasons.,1
313,I am experiencing body pain and weakness.,1
314,I am feeling feverish and need to rest.,1
315,I have a headache and fever.,1
316,I have been experiencing extreme fatigue.,1
317,I need to recover from a severe allergic reaction.,1
318,I need leave for a hospital follow-up.,1
319,I have been prescribed rest by my doctor.,1
320,I am feeling dizzy and weak.,1
321,I need time to recover from a sports injury.,1
322,I am unwell due to low blood sugar levels.,1
323,I am suffering from a severe migraine.,1
324,I need leave for a routine health check-up.,1
325,I caught a cold and need to rest.,1
326,I have been diagnosed with bronchitis.,1
327,I am recovering from food poisoning.,1
328,I have a medical emergency and need leave.,1
329,I am feeling dizzy and weak.,1
330,I have a respiratory infection and need to recover.,1
331,I have an eye infection and cannot come to work.,1
332,I am experiencing dizziness and need to rest.,1
333,I am feeling weak and nauseous.,1
334,I am experiencing symptoms of a viral infection.,1
335,I need time off for medical reasons.,1
336,I am feeling lethargic and unwell.,1
337,I need to visit the hospital for a check-up.,1
338,I need leave to undergo medical tests.,1
339,I have been diagnosed with the flu and need rest.,1
340,I have been advised to rest due to a throat infection.,1
341,I have flu and can't come to work.,1
342,I have a sinus infection and cannot come to work.,1
343,I have been diagnosed with pneumonia.,1
344,I am recovering from a fracture.,1
345,I need to stay home due to a viral infection.,1
346,I have been prescribed antibiotics and need rest.,1
347,I am feeling lethargic and unwell.,1
348,I have a stomach ache and nausea.,1
349,I have been prescribed rest by my doctor.,1
350,I am experiencing joint pain and need to rest.,1
351,I am unwell due to a fever and chills.,1
352,I have been advised to rest due to low blood pressure.,1
353,I am experiencing severe back pain.,1
354,I need to visit a specialist for ongoing treatment.,1
355,I am experiencing body pain and weakness.,1
356,I am suffering from a severe migraine.,1
357,I am unwell due to an allergic reaction.,1
358,I need leave for a doctor's appointment.,1
359,I am feeling unwell due to cold.,1
360,I caught a cold and need to rest.,1
361,I have a headache and fever.,1
362,I have been diagnosed with a stomach infection.,1
363,I am recovering from surgery and need time off.,1
364,I am not feeling well and need rest.,1
365,I have been diagnosed with a urinary tract infection.,1
366,I have been experiencing severe abdominal pain.,1
367,I am not feeling well and need rest.,1
368,I have been diagnosed with an ear infection.,1
369,I am recovering from a viral infection.,1
370,I have high blood pressure and need to rest.,1
371,I have been diagnosed with a stomach infection.,1
372,I need rest due to a muscle sprain.,1
373,I am having difficulty breathing and need to visit the doctor.,1
374,I have been diagnosed with chickenpox.,1
375,I have a persistent cough and sore throat.,1
376,I have been advised to rest due to low blood pressure.,1
377,I have a severe cough and cold.,1
378,I have a sore throat and high fever.,1
379,I have a respiratory infection and need to recover.,1
380,I have a severe headache and need rest.,1
381,I need time to recover from a dental procedure.,1
382,I am unwell due to food poisoning.,1
383,I need to recover from a surgery.,1
384,I need to stay home due to a viral infection.,1
385,I am feeling unwell due to cold.,1
386,I am recovering from a minor surgery.,1
387,I have been diagnosed with an infection and need leave.,1
388,I need to rest due to exhaustion.,1
389,I am recovering from food poisoning.,1
390,I need to rest due to severe stomach cramps.,1
391,I am unwell due to an allergic reaction.,1
392,I have been advised bed rest due to illness.,1
393,I have a recurring migraine that requires medical attention.,1
394,I have an eye infection and cannot come to work.,1
395,I am feeling extremely fatigued and unwell.,1
396,I need to recover from a surgery.,1
397,I am suffering from body aches and fatigue.,1
398,I am taking leave to prepare for an exam.,0
399,I need to oversee repairs in my house.,0
400,I am accompanying my parents to a family gathering.,0
401,I am going out of town for personal work.,0
402,I have a sports event to attend.,0
403,I am planning a family outing.,0
404,I need a day off for a family function.,0
405,I am spending time outdoors for recreational activities.,0
406,I am taking a break for leisure travel.,0
407,I am attending a cultural festival.,0
408,I need a day off to move to a new apartment.,0
409,I need time to attend a friend's farewell party.,0
410,I need to be at a community event.,0
411,I need to visit relatives in another city.,0
412,I need to attend a graduation ceremony.,0
413,I am spending the day with a close relative who is visiting.,0
414,I am attending a cultural festival.,0
415,I am planning a family outing.,0
416,I am helping a friend move houses.,0
417,I am taking leave to celebrate a festival with my family.,0
418,I am going out of town for personal work.,0
419,I am attending a family reunion.,0
420,I need to prepare for a family celebration.,0
421,I need to finalize a business proposal.,0
422,I have a meeting with a financial advisor.,0
423,I need to take care of some errands.,0
424,I am on leave for religious ceremonies.,0
425,I need to attend a training session.,0
426,I am taking time off for a photography trip.,0
427,I have to take my kids to school.,0
428,I need to sort personal financial matters.,0
429,I need to take my car for servicing.,0
430,I am accompanying a friend to an important event.,0
431,I have a sports event to attend.,0
432,I need to attend a friend's wedding.,0
433,I have a personal commitment.,0
434,I need to prepare for a family religious ceremony.,0
435,I am helping my sibling plan their engagement.,0
436,I am assisting my parents with travel arrangements.,0
437,I am assisting my parents with travel arrangements.,0
438,I am accompanying my spouse for an important event.,0
439,I have to take my kids to school.,0
440,I need to attend a friend's wedding.,0
441,I need leave for an adventure trip.,0
442,I need to attend a reunion with old classmates.,0
443,I need time off to renovate my house.,0
444,I am attending an art and crafts fair.,0
445,I need to participate in a charity event.,0
446,I need to stay home for repairs.,0
447,I need to take my pet to the vet.,0
448,I need to handle some paperwork at the bank.,0
449,I am participating in a cooking competition.,0
450,I need to be present for a property deal.,0
451,I am taking leave for leisure activities.,0
452,I need to help a friend organize a party.,0
453,I am attending a career counseling session.,0
454,I need to take my pet to the vet.,0
455,I need to oversee renovations at home.,0
456,I am traveling for an educational workshop.,0
457,I am taking leave for a friend's engagement party.,0
458,I have a personal commitment.,0
459,I am taking leave to go on vacation.,0
460,I am attending an out-of-town wedding.,0
461,I am taking leave to recharge and relax.,0
462,I am volunteering at a local charity event.,0
463,I need to manage legal paperwork for my property.,0
464,I am traveling for personal reasons.,0
465,I need to prepare for a small family gathering.,0
466,I need to spend time with my children during their school holidays.,0
467,I need to oversee renovations at home.,0
468,I am attending a music workshop.,0
469,I need to volunteer for a community project.,0
470,I need to stay home for repairs.,0
471,I need to participate in a creative writing workshop.,0
472,I am going to spend quality time with family.,0
473,I am attending a concert with friends.,0
474,I need a day off for a family function.,0
475,I am attending a gala event in the city.,0
476,I am attending a special dinner event.,0
477,I need to finalize plans for an upcoming holiday.,0
478,I am helping a friend move houses.,0
479,I need to organize a cultural event in my locality.,0
480,I am attending a book club meeting.,0
481,I need to prepare for a family celebration.,0
482,I am attending a local sports tournament.,0
483,I need to be present for an art exhibition.,0
484,I am taking leave to go on vacation.,0
485,I have a meeting with a financial advisor.,0
486,I am organizing a get-together for friends.,0
487,I am accompanying a friend to an important event.,0
488,I need to handle some paperwork at the bank.,0
489,I am on leave for religious ceremonies.,0
490,I am traveling for personal reasons.,0
491,I need to be present for a book signing event.,0
492,I need to be at a community event.,0
493,I am volunteering at a local charity event.,0
494,I need to take care of some errands.,0
495,I need to be present for a property deal.,0
496,I am taking leave for leisure activities.,0
497,I have a headache and fever.,1
498,I am not feeling well and need rest.,1
499,I need leave for a doctor's appointment.,1
500,I have flu and can't come to work.,1
501,I am feeling unwell due to cold.,1
502,I have been diagnosed with a stomach infection.,1
503,I need to recover from a surgery.,1
504,I have a medical emergency and need leave.,1
505,I have a sore throat and high fever.,1
506,I am suffering from a severe migraine.,1
507,I have been prescribed rest by my doctor.,1
508,I caught a cold and need to rest.,1
509,I am experiencing body pain and weakness.,1
510,I have an eye infection and cannot come to work.,1
511,I need to stay home due to a viral infection.,1
512,I have a stomach ache and nausea.,1
513,I am feeling dizzy and weak.,1
514,I have been advised to rest due to low blood pressure.,1
515,I have a respiratory infection and need to recover.,1
516,I am recovering from food poisoning.,1
517,I need to visit the hospital for a check-up.,1
518,I am unwell due to an allergic reaction.,1
519,I have a severe cough and cold.,1
520,I am feeling lethargic and unwell.,1
521,I need time off for medical reasons.,1
522,I have a headache and fever.,1
523,I am not feeling well and need rest.,1
524,I need leave for a doctor's appointment.,1
525,I have flu and can't come to work.,1
526,I am feeling unwell due to cold.,1
527,I have been diagnosed with a stomach infection.,1
528,I need to recover from a surgery.,1
529,I have a medical emergency and need leave.,1
530,I have a sore throat and high fever.,1
531,I am suffering from a severe migraine.,1
532,I have been prescribed rest by my doctor.,1
533,I caught a cold and need to rest.,1
534,I am experiencing body pain and weakness.,1
535,I have an eye infection and cannot come to work.,1
536,I need to stay home due to a viral infection.,1
537,I have a stomach ache and nausea.,1
538,I am feeling dizzy and weak.,1
539,I have been advised to rest due to low blood pressure.,1
540,I have a respiratory infection and need to recover.,1
541,I am recovering from food poisoning.,1
542,I need to visit the hospital for a check-up.,1
543,I am unwell due to an allergic reaction.,1
544,I have a severe cough and cold.,1
545,I am feeling lethargic and unwell.,1
546,I need time off for medical reasons.,1
547,I need to attend a friend's wedding.,0
548,I am taking leave to go on vacation.,0
549,I need a day off for a family function.,0
550,I have a personal commitment.,0
551,I am traveling for personal reasons.,0
552,I need to stay home for repairs.,0
553,I have to take my kids to school.,0
554,I am on leave for religious ceremonies.,0
555,I need to be present for a property deal.,0
556,I have a meeting with a financial advisor.,0
557,I am helping a friend move houses.,0
558,I need to be at a community event.,0
559,I am attending a cultural festival.,0
560,I need to take care of some errands.,0
561,I am planning a family outing.,0
562,I need to handle some paperwork at the bank.,0
563,I am assisting my parents with travel arrangements.,0
564,I am going out of town for personal work.,0
565,I need to take my pet to the vet.,0
566,I am volunteering at a local charity event.,0
567,I need to prepare for a family celebration.,0
568,I have a sports event to attend.,0
569,I am accompanying a friend to an important event.,0
570,I need to oversee renovations at home.,0
571,I am taking leave for leisure activities.,0
572,I need to attend a friend's wedding.,0
573,I am taking leave to go on vacation.,0
574,I need a day off for a family function.,0
575,I have a personal commitment.,0
576,I am traveling for personal reasons.,0
577,I need to stay home for repairs.,0
578,I have to take my kids to school.,0
579,I am on leave for religious ceremonies.,0
580,I need to be present for a property deal.,0
581,I have a meeting with a financial advisor.,0
582,I am helping a friend move houses.,0
583,I need to be at a community event.,0
584,I am attending a cultural festival.,0
585,I need to take care of some errands.,0
586,I am planning a family outing.,0
587,I need to handle some paperwork at the bank.,0
588,I am assisting my parents with travel arrangements.,0
589,I am going out of town for personal work.,0
590,I need to take my pet to the vet.,0
591,I am volunteering at a local charity event.,0
592,I need to prepare for a family celebration.,0
593,I have a sports event to attend.,0
594,I am accompanying a friend to an important event.,0
595,I need to oversee renovations at home.,0
596,I am taking leave for leisure activities.,0
597,I am feeling good.,0
598,I am feeling ill.,1
599,Feeling fine.,0
600,I am feeling great I don't need sick leave.,0
601,"Feeling unwell, taking a sick day.",1
602,Working remotely today.,0
603,I am not feeling well and won't be able to come to work today.,1
604,I will be on vacation tomorrow.,0
605,I will be attending a conference off-site.,0
606,Taking the day off for personal reasons.,0
607,I'm down with a fever and need to rest.,1
608,Taking a personal day off.,0
609,I am not feeling well and won't be able to come to work today.,1
610,"Feeling unwell, taking a sick day.",1
611,I will be attending a conference off-site.,0
612,I will be on vacation tomorrow.,0
613,"Under the weather, unable to attend work.",1
614,Taking a personal day off.,0
615,I will be on vacation tomorrow.,0
616,Taking a personal day off.,0
617,I will be attending a conference off-site.,0
618,I'm down with a fever and need to rest.,1
619,"Feeling unwell, taking a sick day.",1
620,I'm down with a fever and need to rest.,1
621,I'm down with a fever and need to rest.,1
622,I will be on vacation tomorrow.,0
623,Taking the day off for personal reasons.,0
624,Taking the day off for personal reasons.,0
625,I will be attending a conference off-site.,0
626,"Under the weather, unable to attend work.",1
627,I will be attending a conference off-site.,0
628,I'm down with a fever and need to rest.,1
629,I am not feeling well and won't be able to come to work today.,1
630,Working remotely today.,0
631,Taking the day off for personal reasons.,0
632,"Feeling unwell, taking a sick day.",1
633,I have a doctor's appointment due to illness and will not be in.,1
634,Working remotely today.,0
635,I will be on vacation tomorrow.,0
636,Taking the day off for personal reasons.,0
637,I will be attending a conference off-site.,0
638,Taking the day off for personal reasons.,0
639,"Feeling unwell, taking a sick day.",1
640,I'm down with a fever and need to rest.,1
641,Working remotely today.,0
642,"Under the weather, unable to attend work.",1
643,Taking the day off for personal reasons.,0
644,I have a doctor's appointment due to illness and will not be in.,1
645,Working remotely today.,0
646,"Feeling unwell, taking a sick day.",1
647,I'm down with a fever and need to rest.,1
648,I'm down with a fever and need to rest.,1
649,"Feeling unwell, taking a sick day.",1
650,Taking a personal day off.,0
651,"Feeling unwell, taking a sick day.",1
652,"Feeling unwell, taking a sick day.",1
653,I am not feeling well and won't be able to come to work today.,1
654,I am not feeling well and won't be able to come to work today.,1
655,I'm down with a fever and need to rest.,1
656,Working remotely today.,0
657,"Feeling unwell, taking a sick day.",1
658,Taking the day off for personal reasons.,0
659,Taking the day off for personal reasons.,0
660,I will be attending a conference off-site.,0
661,I am not feeling well and won't be able to come to work today.,1
662,"Under the weather, unable to attend work.",1
663,I will be on vacation tomorrow.,0
664,Taking a personal day off.,0
665,Taking a personal day off.,0
666,Working remotely today.,0
667,Working remotely today.,0
668,I am not feeling well and won't be able to come to work today.,1
669,"Feeling unwell, taking a sick day.",1
670,"Feeling unwell, taking a sick day.",1
671,"Feeling unwell, taking a sick day.",1
672,Taking a personal day off.,0
673,I will be on vacation tomorrow.,0
674,"Under the weather, unable to attend work.",1
675,"Under the weather, unable to attend work.",1
676,I'm down with a fever and need to rest.,1
677,I have a doctor's appointment due to illness and will not be in.,1
678,"Under the weather, unable to attend work.",1
679,Working remotely today.,0
680,I will be on vacation tomorrow.,0
681,Taking a personal day off.,0
682,Taking the day off for personal reasons.,0
683,Taking the day off for personal reasons.,0
684,I will be on vacation tomorrow.,0
685,I will be on vacation tomorrow.,0
686,I will be attending a conference off-site.,0
687,Working remotely today.,0
688,Working remotely today.,0
689,I'm down with a fever and need to rest.,1
690,Taking a personal day off.,0
691,Taking the day off for personal reasons.,0
692,"Feeling unwell, taking a sick day.",1
693,I will be attending a conference off-site.,0
694,I have a doctor's appointment due to illness and will not be in.,1
695,I am not feeling well and won't be able to come to work today.,1
696,"Feeling unwell, taking a sick day.",1
697,"Under the weather, unable to attend work.",1
698,Taking the day off for personal reasons.,0
699,I'm down with a fever and need to rest.,1
700,"Under the weather, unable to attend work.",1
701,Working remotely today.,0
702,"Under the weather, unable to attend work.",1
703,I am not feeling well and won't be able to come to work today.,1
704,I have a doctor's appointment due to illness and will not be in.,1
705,Taking a personal day off.,0
706,Taking the day off for personal reasons.,0
707,I have a doctor's appointment due to illness and will not be in.,1
708,I'm down with a fever and need to rest.,1
709,I have a doctor's appointment due to illness and will not be in.,1
710,Taking a personal day off.,0
711,I will be attending a conference off-site.,0
712,I will be on vacation tomorrow.,0
713,Working remotely today.,0
714,I am not feeling well and won't be able to come to work today.,1
715,I'm down with a fever and need to rest.,1
716,I have a doctor's appointment due to illness and will not be in.,1
717,Taking a personal day off.,0
718,Working remotely today.,0
719,I'm down with a fever and need to rest.,1
720,I will be on vacation tomorrow.,0
721,I will be attending a conference off-site.,0
722,I'm down with a fever and need to rest.,1
723,Taking the day off for personal reasons.,0
724,"Under the weather, unable to attend work.",1
725,I am not feeling well and won't be able to come to work today.,1
726,I will be attending a conference off-site.,0
727,Working remotely today.,0
728,I will be attending a conference off-site.,0
729,Taking a personal day off.,0
730,Taking a personal day off.,0
731,I will be attending a conference off-site.,0
732,I will be attending a conference off-site.,0
733,Working remotely today.,0
734,Taking a personal day off.,0
735,I'm down with a fever and need to rest.,1
736,Taking a personal day off.,0
737,Taking the day off for personal reasons.,0
738,I will be on vacation tomorrow.,0
739,I have a doctor's appointment due to illness and will not be in.,1
740,I'm down with a fever and need to rest.,1
741,Taking the day off for personal reasons.,0
742,Taking a personal day off.,0
743,I am not feeling well and won't be able to come to work today.,1
744,"Feeling unwell, taking a sick day.",1
745,"Feeling unwell, taking a sick day.",1
746,Taking the day off for personal reasons.,0
747,Working remotely today.,0
748,Taking the day off for personal reasons.,0
749,Taking the day off for personal reasons.,0
750,I have a doctor's appointment due to illness and will not be in.,1
751,Taking the day off for personal reasons.,0
752,Working remotely today.,0
753,Working remotely today.,0
754,"Feeling unwell, taking a sick day.",1
755,I will be on vacation tomorrow.,0
756,Working remotely today.,0
757,I will be on vacation tomorrow.,0
758,Taking a personal day off.,0
759,Taking the day off for personal reasons.,0
760,I'm down with a fever and need to rest.,1
761,I will be on vacation tomorrow.,0
762,I will be on vacation tomorrow.,0
763,I will be on vacation tomorrow.,0
764,I have a doctor's appointment due to illness and will not be in.,1
765,I have a doctor's appointment due to illness and will not be in.,1
766,I have a doctor's appointment due to illness and will not be in.,1
767,"Feeling unwell, taking a sick day.",1
768,I'm down with a fever and need to rest.,1
769,I have a doctor's appointment due to illness and will not be in.,1
770,I'm down with a fever and need to rest.,1
771,I will be attending a conference off-site.,0
772,I have a doctor's appointment due to illness and will not be in.,1
773,"Under the weather, unable to attend work.",1
